Year;GFDL-ESM2M;NorESM2;ACCESS;UKESM1;CanESM5;CESM;MPIESM;CNRM-ESM2-1;MIROC-ES2L
246;0.95102563;;;;;;0.4131;;0.53431
247;0.532604316;;;;;;0.192;;0.57513
248;0.244664341;;;;;;0.1874;;0.57268
249;0.319011252;;;;;;0.2512;;0.53426
250;0.510436491;;;;;;;;0.62791
251;0.708362849;;;;;;;;0.57421
252;0.68109382;;;;;;;;0.65033
253;0.663840635;;;;;;;;0.54101
254;0.642383034;;;;;;;;0.70614
255;0.647408506;;;;;;;;0.60329
256;0.824062756;;;;;;;;0.62956
257;0.982846536;;;;;;;;0.53467
258;0.986843168;;;;;;;;0.67238
259;0.791140563;;;;;;;;0.71606
260;0.727040751;;;;;;;;0.6727
261;0.463198164;;;;;;;;0.85144
262;0.291482461;;;;;;;;0.76525
263;0.513416532;;;;;;;;0.84167
264;0.736268345;;;;;;;;0.74106
265;0.853631853;;;;;;;;0.74351
266;0.525999397;;;;;;;;0.80258
267;0.603446591;;;;;;;;0.66467
268;0.552935992;;;;;;;;0.6328
269;0.280979991;;;;;;;;0.57572
270;0.461906844;;;;;;;;0.6228
271;0.736485628;;;;;;;;0.76668
272;0.559804589;;;;;;;;0.75528
273;0.222082209;;;;;;;;0.7547
274;0.314409758;;;;;;;;0.57232
275;0.109587671;;;;;;;;0.43518
276;0.406445279;;;;;;;;0.43664
277;0.561060977;;;;;;;;0.44289
278;0.6651496;;;;;;;;0.59581
279;0.685807951;;;;;;;;0.69476
280;0.747939971;;;;;;;;0.71692
281;0.553757684;;;;;;;;0.59451
282;0.3014619;;;;;;;;0.75854
283;0.462195197;;;;;;;;0.70583
284;0.480428335;;;;;;;;0.75605
285;0.532852703;;;;;;;;0.72183
286;0.565463262;;;;;;;;0.48375
287;0.80631866;;;;;;;;0.60876
288;0.660279932;;;;;;;;0.68703
289;0.526667403;;;;;;;;0.82792
290;0.843785041;;;;;;;;0.79592
291;0.996815342;;;;;;;;0.58832
292;0.451448702;;;;;;;;0.51614
293;0.320487073;;;;;;;;0.58901
294;0.572615923;;;;;;;;0.50369
295;0.479876715;;;;;;;;0.60575
296;0.702270278;;;;;;;;0.51748
297;0.362770177;;;;;;;;0.49255
298;0.396275258;;;;;;;;0.44635
299;0.461767251;;;;;;;;0.65827
300;0.507910429;;;;;;;;0.60516
