   year        tas_(K)            co2_(ppm)    landflx_(PgC/yr)  ocnflx_(PgC/yr)  gpp_(PgC/yr)    npp_(PgC/yr)    rh_(PgC/yr)     cveg_(PgC)      csoil_(PgC)
  1987.0   13.461193498   284.2   -0.0138092539584   -0.0207426610359   114.864494396   57.9299193001   57.0615361567   582.672773899   1773.71295949 
  1988.0   13.424234443000046   284.2   0.835471469903   -0.151034702571   116.550804297   58.6543171085   56.9749357106   582.515707446   1773.97383816 
  1989.0   13.455233472000032   284.2   0.706390199606   0.167631108484   119.847641006   60.2031692473   58.5546775156   582.695377564   1774.41173717 
  1990.0   13.464195836000044   284.2   -0.916036541072   0.0505731872368   117.69698401   58.7015838716   58.7442537997   582.833826163   1774.4492443 
  1991.0   13.433005680999997   284.2   0.235644917113   -0.0496527633918   118.127223711   59.602761324   58.4496716168   582.85061787   1774.00660975 
  1992.0   13.334691918000033   284.2   0.603224039314   0.0679824154987   117.861703332   59.6118087871   58.0912922604   583.230736375   1774.03153223 
  1993.0   13.429606847000002   284.2   -0.424223534208   -0.0282416995813   114.991985946   58.0588791924   57.5850916669   583.250564917   1774.21733566 
  1994.0   13.461569034000036   284.2   -1.49236143705   0.119083329985   113.548927168   57.2895859746   57.8709863123   582.801689553   1773.81106726 
  1995.0   13.545105121999995   284.2   -0.623301570754   0.0554230881932   114.639969033   57.9576980625   57.6849620665   582.282047429   1773.03821558 
  1996.0   13.570114722000028   284.2   0.45203183896   -0.0563275465196   117.101324627   59.554593187   58.1825731305   582.579962939   1772.82774982 
  1997.0   13.470902233000004   284.2   0.17514431115   0.186396324906   118.842536098   59.7378128184   58.6591908682   582.920761985   1772.78057427 
  1998.0   13.583843966000018   284.2   -1.328106355   0.297969528829   115.390211274   57.8881816453   58.3229009576   582.799996745   1772.23292608 
  1999.0   13.424159724000049   284.2   0.415674155133   0.165368723242   118.65977979   60.0278956162   58.7139870438   582.99204764   1771.53561642 
  2000.0   13.232536039000024   284.2   1.58594562203   0.14084133278   119.190147078   60.3060454547   57.8293089445   583.495611983   1771.96759246 
  2001.0   13.320410813000024   284.2   0.768447370788   0.203775940973   115.389409983   58.0266783668   56.3742121708   583.710716794   1773.3598754 
